,H,B,q,R_int,gamma,Su,sf_lower,sf_upper
549,6,14,10,0.8,18,75,3.601,3.729
550,6,14,10,0.8,18,50,2.395,2.483
551,6,14,10,0.8,18,25,1.197,1.242
552,6,14,10,0.8,16,100,5.322,5.525
553,6,14,10,0.8,16,75,3.995,4.143
554,6,14,10,0.8,16,50,2.661,2.762
555,6,14,10,0.8,16,25,1.330,1.381
556,6,14,10,0.8,14,100,6.007,6.224
557,6,14,10,0.8,14,75,4.518,4.673
558,6,14,10,0.8,14,50,3.004,3.112
559,6,14,10,0.8,14,25,1.502,1.556
560,6,14,10,0.6,18,100,4.783,4.967
561,6,14,10,0.6,18,75,3.597,3.729
562,6,14,10,0.6,18,50,2.392,2.483
563,6,14,10,0.6,18,25,1.196,1.242
564,6,14,10,0.6,16,100,5.322,5.511
565,6,14,10,0.6,16,75,3.995,4.133
566,6,14,10,0.6,16,50,2.661,2.756
567,6,14,10,0.6,16,25,1.330,1.378
568,6,14,10,0.6,14,100,6.023,6.224
569,6,14,10,0.6,14,75,4.498,4.673
570,6,14,10,0.6,14,50,3.012,3.112
571,6,14,10,0.6,14,25,1.506,1.556
572,6,14,0,1.0,18,100,5.224,5.419
573,6,14,0,1.0,18,75,3.921,4.062
574,6,14,0,1.0,18,50,2.612,2.710
575,6,14,0,1.0,18,25,1.306,1.355
576,6,14,0,1.0,16,100,5.878,6.100
577,6,14,0,1.0,16,75,4.413,4.568
